Strain,Azt,Replication,GrowthRate
Sensitive,0,1,0.707
Sensitive,0,2,0.602
Sensitive,0,3,0.777
Sensitive,0,4,0.55
Sensitive,0,5,0.721
Sensitive,0,6,0.68
Sensitive,2,1,0.379
Sensitive,2,2,0.318
Sensitive,2,3,0.226
Sensitive,2,4,0.328
Sensitive,2,5,0.378
Sensitive,2,6,0.338
Sensitive,4,1,0.141
Sensitive,4,2,0.188
Sensitive,4,3,0.212
Sensitive,4,4,0.088
Sensitive,4,5,0.177
Sensitive,4,6,0.33
Resistant,0,1,0.513
Resistant,0,2,0.539
Resistant,0,3,0.651
Resistant,0,4,0.563
Resistant,0,5,0.501
Resistant,0,6,0.467
Resistant,0,7,0.524
Resistant,0,8,0.843
Resistant,0,9,1.359
Resistant,0,10,0.601
Resistant,0,11,0.394
Resistant,0,12,0.444
Resistant,0,13,0.744
Resistant,0,14,0.621
Resistant,0,15,0.581
Resistant,2,1,0.259
Resistant,2,2,0.291
Resistant,2,3,0.32
Resistant,2,4,0.43
Resistant,2,5,0.424
Resistant,2,6,0.392
Resistant,2,7,0.489
Resistant,2,8,0.491
Resistant,2,9,0.909
Resistant,2,10,0.421
Resistant,2,11,0.284
Resistant,2,12,0.447
Resistant,2,13,0.438
Resistant,2,14,0.452
Resistant,2,15,0.42
Resistant,4,1,0.369
Resistant,4,2,0.284
Resistant,4,3,0.695
Resistant,4,4,0.611
Resistant,4,5,0.514
Resistant,4,6,0.406
Resistant,4,7,0.357
Resistant,4,8,0.409
Resistant,4,9,0.539
Resistant,4,10,0.593
Resistant,4,11,0.255
Resistant,4,12,0.548
Resistant,4,13,0.6
Resistant,4,14,0.297
Resistant,4,15,0.507
