GeneID,Sensitive_azt0,Sensitive_azt2,Resistant_azt0,Resistant_azt2,Resistant_azt4
PP_0026,91.58821029,74.14147165,85.76032004,103.5250613,90.85769983
PP_0037,16.87846417,18.38988228,23.34001335,22.64752887,18.24590347
PP_0043,38.5901412,32.28554837,29.58692163,38.38530249,37.72226908
PP_0058,163.002706,153.6798719,156.4261463,145.9649373,153.7284156
PP_0059,255.8115316,169.0228056,241.3505693,213.4089935,190.4791926
PP_0060,372.0740047,357.9714699,325.4972645,299.7675477,346.1717423
PP_0061,109.2918939,130.6034389,104.7249287,98.3389954,130.7388963
PP_0063,301.4205128,264.9791432,274.2946967,253.6772276,264.3089671
PP_0065,215.5928899,181.8719165,173.2886827,202.8710435,170.9071521
PP_0067,76.78838124,51.60047644,64.29582927,67.72242642,56.01406235
PP_0072,141.0096653,138.0728365,168.9066222,139.80648,125.1692197
PP_0073,748.7612835,238.8542577,850.581725,415.6986611,245.3226667
PP_0074,429.8414085,150.8516051,461.2626014,206.5429096,124.7642274
PP_0075,31.15306976,26.63830254,24.37596025,22.94535733,34.09068601
PP_0076,13.89659698,14.66101469,14.3944273,11.34874913,17.42186413
PP_0077,47.44189864,49.84438045,45.37286137,44.54630229,48.55805273
PP_0082,70.48542245,67.19698478,68.280241,69.71649592,65.23412636
PP_0083,110.8002553,116.924582,116.6384533,100.8758686,126.1411889
PP_0100,297.1586691,208.2216531,232.7360642,204.0631282,183.0758941
PP_0103,44.14433738,49.1480101,40.18599719,61.07683544,42.45820561
PP_0104,45.21897246,45.37481802,45.0783309,54.1451142,48.21392454
PP_0105,5.112842487,7.904455219,6.473092449,8.26701278,5.504432927
PP_0106,37.57485116,48.5554005,47.62366221,76.61618294,57.75251032
PP_0110,51.24839895,52.72879246,71.28830508,63.06547606,68.37709489
PP_0112,633.8671728,553.6062022,526.5061655,574.7328429,547.019839
PP_0113,192.9127425,162.8417155,166.6586388,145.0136528,133.5154823
PP_0114,147.0360508,145.5821802,139.5231991,130.0428738,143.9974855
PP_0115,29.56021609,48.43906105,34.84677752,38.58369378,51.8658112
PP_0117,146.1278243,89.0948117,126.8955097,127.37752,90.37053786
PP_0118,168.4952463,91.6294178,151.8059426,148.2363947,103.1178094
PP_0120,266.9599436,175.1166507,245.7454981,204.6166291,173.306302
PP_0121,551.424994,479.9039459,463.7036049,640.2143535,459.7097555
PP_0127,1111.395676,961.9478978,987.6391475,1002.977889,979.2751394
PP_0129,669.6636926,569.6753666,623.5434125,579.6119808,557.9818375
PP_0137,456.8394216,436.7988319,349.6094991,399.5285753,471.3878893
PP_0145,499.0690891,424.4619443,460.8763057,454.5150552,418.9431126
PP_0147,53.68851721,46.2581451,50.93795246,52.03625219,52.03304827
PP_0154,662.7609432,435.1274774,575.9162546,486.8753729,418.0054523
PP_0155,171.4614869,191.9290431,140.5224139,169.7529005,209.2170854
PP_0156,138.2742098,158.1184386,95.9251445,149.1776831,169.4572206
PP_0158,50.09706684,257.2538458,60.61571359,183.1527312,376.9653218
PP_0160,80.50334826,110.7080218,104.3255831,93.77816883,116.9230253
PP_0165,116.4919779,140.2781519,123.2468543,117.1822804,132.9050882
PP_0169,5.85460022,8.586384682,6.892254335,7.97959384,12.39786353
PP_0184,366.5357847,339.5387816,338.3298307,344.1236881,370.423242
PP_0186,837.9494705,633.517514,814.4432743,783.0821132,626.24674
PP_0187,278.3923506,237.5258442,303.4347048,280.3860686,229.6929307
PP_0188,509.6713232,503.4185354,532.0219415,503.7760348,474.5293604
PP_0189,639.8181289,568.0140978,636.7526182,570.9515845,565.9902253
PP_0190,130.0726406,139.0158685,156.8394603,127.1145773,137.8309229
PP_0207,23.88250325,21.8586972,18.17069273,18.98054511,27.61435167
PP_0208,7.873517552,4.003884123,3.29682607,2.514458961,4.746609045
PP_0209,4.273409283,6.337257318,5.320058734,4.146218176,7.43332485
PP_0213,465.9732969,606.2170047,455.8901525,467.2172766,591.3841591
PP_0214,848.3986549,1019.454429,837.8952309,998.4752535,1015.408216
PP_0217,723.2706919,751.4915855,695.0937898,782.3720075,775.5025167
PP_0219,9.768918231,13.87424348,7.337443546,13.62898371,14.71339401
PP_0220,6.490851092,5.672009903,5.320058734,9.518598626,7.06939127
PP_0221,4.55477297,5.555749627,6.052233809,3.45408004,5.760591351
PP_0226,161.693563,152.9437137,149.0912364,149.3161946,153.9473656
PP_0227,113.3367334,101.6272665,103.5159226,115.3080189,106.7686997
PP_0229,252.3624342,194.7527795,234.8037551,217.7881424,215.6045012
PP_0230,27.84215656,37.6379486,26.64091115,30.06136838,32.11493249
PP_0231,9.899439758,9.59317691,12.06911956,8.777368839,8.786584984
PP_0232,9.027160499,11.62325393,10.0534315,8.608504021,10.57289466
PP_0233,24.11935815,47.54264273,27.59217063,22.57932027,59.00669962
PP_0234,1378.038461,1331.724392,1016.097702,1096.477204,1284.775575
PP_0236,24.28272574,46.68091339,20.4599742,20.49500407,58.73893914
PP_0237,16.33523091,33.71794176,17.39325002,28.43086303,39.59364802
PP_0238,15.01356253,24.32258207,13.36941851,25.24470886,27.73808103
PP_0239,10.36449166,17.50442436,12.06911956,18.07045051,17.89212215
PP_0240,23.20640145,18.33335806,15.94907934,21.18964995,18.70020819
PP_0243,340.9002691,302.8763528,293.5441795,277.6012991,270.9640939
PP_0260,214.9809959,128.2311694,218.9754688,142.8203652,116.2410709
PP_0261,161.8467522,88.92875068,180.5481983,100.3921179,93.73921082
PP_0266,181.6481923,147.3530961,139.0020396,144.3597834,137.8734818
PP_0280,57.05490793,56.32571955,54.53168398,75.10507219,63.67691704
PP_0281,129.2539809,118.3754468,114.8959437,170.7616054,138.3374817
PP_0282,717.3891288,627.8238087,629.6959253,811.07886,620.6393531
PP_0283,306.2656286,311.2140633,310.669838,345.9225193,359.8353677
PP_0284,104.1665975,106.1178582,93.96939835,128.4294607,119.3985411
PP_0289,273.1573594,265.8018675,278.4772557,263.4295142,289.3752662
PP_0290,146.8873869,117.2203735,138.37771,107.9199442,110.8091757
PP_0292,232.9992096,186.677302,185.2957211,153.4844136,169.166757
PP_0293,197.5006466,149.0288121,175.5025699,133.8862804,146.9012005
PP_0294,137.3618385,159.4123094,153.2873695,168.9015151,151.4839473
PP_0295,95.89805675,90.60424605,86.04145805,106.1114532,91.82577397
PP_0296,184.5635409,174.1940811,189.0232736,234.5778082,192.6024226
PP_0297,32.41539309,41.74668882,37.72681667,49.28977256,35.81078116
PP_0301,5.251195403,3.372513342,4.891655488,4.887447964,3.316981198
PP_0302,6.970739255,7.67301566,7.32989894,4.770147709,7.831566385
PP_0303,5.678743393,5.509483778,4.455707637,6.610707739,7.486486605
PP_0304,13.84425681,13.31794116,13.24478709,18.64030774,16.43108686
PP_0310,83.38436645,74.66851323,67.05930584,73.25204312,70.2291209
PP_0311,32.27386665,27.47160825,24.92729816,28.56104572,30.59783401
PP_0315,41.03578,46.50197387,49.11894838,55.14796324,41.53124148
PP_0316,40.39721829,41.23157831,27.61480445,34.72204552,37.99002956
PP_0321,319.420059,316.0912248,297.8138803,286.9393322,301.3864664
PP_0322,27.59829679,26.75483147,28.52272643,37.36831716,35.18538634
PP_0323,28.29471922,28.63957695,26.17893597,33.83026222,23.46805129
PP_0324,1.558069518,3.51034021,3.459180516,4.156627699,6.304315642
PP_0325,47.99914164,47.77683599,53.99543528,60.38598599,44.89796366
PP_0326,10.18863483,10.22570786,7.041216323,11.94813284,8.900161166
PP_0327,18.96538445,20.02002808,25.47863607,26.98210494,18.4875584
PP_0328,79.073826,91.09984163,78.23574663,113.3560009,75.19995974
PP_0336,247.7500407,256.0119489,296.7875897,258.2721691,251.9415815
PP_0338,1321.054479,1223.479677,1368.655731,1076.040758,1061.215824
PP_0339,4163.047986,3644.500871,3858.375842,3026.460835,3140.783918
PP_0341,191.5995995,139.3847871,175.3453057,161.0800004,129.576527
PP_0342,208.2018478,153.8230166,198.3315767,163.6850822,142.1512596
PP_0343,215.7304163,162.8889768,186.799491,158.1151161,161.0302391
PP_0344,178.1854417,128.1812336,145.6598594,99.43714143,106.3090931
PP_0345,171.8044703,137.0319782,179.4847607,140.1287498,132.2134807
PP_0346,130.536866,101.7913861,113.6639611,90.20311271,89.04578558
PP_0350,78.31875251,84.78442998,66.37070164,77.84949231,72.70463855
PP_0356,739.8310504,791.3824441,818.4940261,945.3618857,823.7638173
PP_0362,403.0884382,191.0161633,418.6475723,177.194522,195.7322982
PP_0363,203.7217614,101.8302576,199.1739998,93.5381183,96.14946368
PP_0364,107.243998,64.95862832,141.1360963,68.12381108,60.68378342
PP_0365,87.48871974,39.99621054,89.45891844,42.14462728,38.36216647
PP_0366,133.0090038,53.95719924,157.9681634,58.11777223,60.66687855
PP_0376,47.87879852,44.48722925,59.47267883,59.28620753,46.66106738
PP_0378,25.21282954,24.28041957,20.42055441,30.97271685,24.78315137
